hash	chemical composition	surface chemistry/coating/functionalization	purity	nanomaterial labeling/identity	nanomaterial source	size	shape	surface area	surface charge	zeta potential	crystallinity	solubility	stability	dispersibility	density	agglomeration state	dose/concentration	exposure time/duration	number of controls	number of replicates	data analysis methods	organism/species	method/route of administration	in vivo - number of test subjects	in vivo - subject weight	in vivo - subject age	in vivo - subject sex	in vivo - subject strain	in vitro - passage number	in vitro - cell mycoplasma testing
9e1d426c9015fc15d718b0fbd3f41152	Y	Y				Y	Y			Y																				
9a9ad3fe96432ca53a6ad331a5283ea6	Y					Y	Y			Y							Y													
16876494884cd452d29ad6455ab7e4dc	Y					Y		Y	Y								Y	Y				Y								
5d2e680699dcb1d8ec6ee07941653774	Y					Y		Y	Y								Y	Y				Y								
0a77bd4afd69252e1fa0b8f3e52c1100	Y					Y		Y	Y								Y	Y				Y								
51cbf2d4aebab163496fe926091be171	Y	Y				Y	Y	Y		Y							Y	Y				Y		Y	Y	Y				
4f4d02f185841bd3bf33503d672fd16c	Y	Y				Y	Y	Y		Y							Y	Y												
0e3c23628a103c9cf92cc651a30ccc4a	Y					Y			Y								Y													
ff9cfd6e9e9373c0f4196ff2b093d57c	Y					Y	Y			Y																				
30f8d0f7550dd28cfe6e145aa29da619	Y					Y											Y	Y												
dd7e97719a7a4d561f8dbefc27b73390	Y					Y	Y	Y		Y							Y	Y				Y								
40a0d72701e9766b96b10a4c30fec4cd	Y					Y			Y								Y													
2210ee6fb32877791d97ba4adb4faed3	Y	Y				Y	Y		Y								Y	Y				Y								
852ace6f6288f335dbbdfc0f149d679e	Y					Y		Y									Y	Y												
364572eee5b81bf59ff7ae8fc095ccfb	Y	Y				Y	Y	Y	Y			Y											Y							
0904205a9a7d59d1274b61d2c83f97c4																														
a1cc8d01610f24dc3ca54c053134d707	Y	Y				Y																								
1e7da9d774c38851a23f5b0ec66b5aff	Y		Y			Y											Y	Y				Y			Y		Y			
4ab8fc4886992f27977aa1161de85c00	Y	Y				Y		Y		Y				Y																
409b3f244f83b2bfe21a1bccd586a221	Y	Y				Y				Y							Y	Y				Y								
0dbe3fd7cd021f444d98c55132f48473	Y					Y																								
d97c408142f8a2badc39d857367e65a8	Y					Y	Y											Y				Y								
d220a31dfbd928c6818d49a713ca2fff	Y					Y	Y															Y								
526962eb58312803b6868a4fa5e96c22	Y					Y	Y											Y												
ef846b8f8be6523ae1f4fdf8e440cd11	Y	Y				Y	Y											Y												
84a9f57ee628617787b9ebab1aa5d2f7																														
909758f06b965ff79e92f1c45e0c4e1a	Y	Y				Y	Y	Y		Y																				
47c4342ba770cd843133bd8f5b236422	Y					Y	Y										Y	Y										Y		
bd8560592e2d3ad3cedae66da2154610	Y	Y				Y	Y											Y				Y								
e1019020544fafb6a1ad3f721dca49f0	Y					Y	Y																							
d41d8cd98f00b204e9800998ecf8427e	Y		Y			Y	Y	Y	Y	Y							Y													
974d6633c1c8fd486deb996112268062	Y	Y				Y			Y	Y							Y													
613619914ccd8fdac9661f4deb2c7c07	Y					Y			Y									Y												
d9f81da33e189d3a3ac14c426f2028de	Y	Y				Y	Y	Y		Y	Y						Y	Y				Y								
